,president1,date1,president2,date2,sim
0,Franklin Pierce,1855,Bill Clinton,1997,0.358121293193
1,Franklin Pierce,1855,Herbert Hoover,1931,0.639041879491
2,Franklin Pierce,1855,William Howard Taft,1911,0.660515847903
3,Franklin Pierce,1855,Andrew Jackson,1833,0.885292260124
4,Franklin Pierce,1855,Millard Fillmore,1851,0.62424314513
5,Franklin Pierce,1855,Gerald Ford,1975,0.550223648989
6,Franklin Pierce,1855,Franklin D. Roosevelt,1939,0.561210503895
7,Franklin Pierce,1855,James K. Polk,1847,0.816950998968
8,Franklin Pierce,1855,Richard Nixon,1971,0.508356794801
9,Franklin Pierce,1855,Barack Obama,2012,0.405159292282
10,Franklin Pierce,1855,James Madison,1813,0.811341520442
11,Franklin Pierce,1855,James Buchanan,1859,0.858878386868
12,Franklin Pierce,1855,Ulysses S. Grant,1873,0.856001517571
13,Franklin Pierce,1855,Rutherford B. Hayes,1879,0.801217933941
14,Franklin Pierce,1855,James Monroe,1821,0.824742301297
15,Franklin Pierce,1855,Lyndon B. Johnson,1966,0.50122030349
16,Franklin Pierce,1855,Theodore Roosevelt,1905,0.71583926907
17,Franklin Pierce,1855,John Quincy Adams,1827,0.789309701
18,Franklin Pierce,1855,Woodrow Wilson,1917,0.706498730701
19,Franklin Pierce,1855,George Bush,1991,0.452144050221
20,Franklin Pierce,1855,Warren G. Harding,1922,0.359676100159
21,Franklin Pierce,1855,John Adams,1799,0.82994819415
22,Franklin Pierce,1855,John Tyler,1843,0.854978616821
23,Franklin Pierce,1855,William McKinley,1899,0.791076242209
24,Franklin Pierce,1855,Harry S Truman,1949,0.57154999592
25,Franklin Pierce,1855,Dwight D. Eisenhower,1957,0.537493314565
26,Franklin Pierce,1855,John F. Kennedy,1962,0.537324780959
27,Franklin Pierce,1855,Calvin Coolidge,1926,0.684434192655
28,Franklin Pierce,1855,Zachary Taylor,1849,0.747207422497
29,Franklin Pierce,1855,Grover Cleveland,1887,0.760237731747
30,Franklin Pierce,1855,Jimmy Carter,1979,0.448096531707
31,Franklin Pierce,1855,Andrew Johnson,1867,0.771519850469
32,Franklin Pierce,1855,George W. Bush,2005,0.390629435529
33,Franklin Pierce,1855,Benjamin Harrison,1891,0.709269419792
34,Franklin Pierce,1855,Martin Van Buren,1839,0.826367141804
35,Franklin Pierce,1855,James A. Garfield,1881,0.650010390305
36,Franklin Pierce,1855,Abraham Lincoln,1863,0.74374101674
37,Franklin Pierce,1855,George Washington,1793,0.789513194202
38,Franklin Pierce,1855,Chester Arthur,1883,0.793856936418
39,Franklin Pierce,1855,Thomas Jefferson,1805,0.75551964755
40,Franklin Pierce,1855,Ronald Reagan,1985,0.492945783779
41,Bill Clinton,1997,Franklin Pierce,1855,0.358121293193
42,Bill Clinton,1997,Herbert Hoover,1931,0.505728437031
43,Bill Clinton,1997,William Howard Taft,1911,0.370466725393
44,Bill Clinton,1997,Andrew Jackson,1833,0.35749619016
45,Bill Clinton,1997,Millard Fillmore,1851,0.24949377655
46,Bill Clinton,1997,Gerald Ford,1975,0.663244194675
47,Bill Clinton,1997,Franklin D. Roosevelt,1939,0.604607710824
48,Bill Clinton,1997,James K. Polk,1847,0.346342791924
49,Bill Clinton,1997,Richard Nixon,1971,0.652833365394
50,Bill Clinton,1997,Barack Obama,2012,0.783286824779
51,Bill Clinton,1997,James Madison,1813,0.392679026333
52,Bill Clinton,1997,James Buchanan,1859,0.362466655568
53,Bill Clinton,1997,Ulysses S. Grant,1873,0.40115380241
